Fecha Operación;Fecha Valor;Concepto;Movimiento;Importe;Divisa;Saldo;Divisa.1;Categoría
01/07/2025;01/07/2025;TRANSFERENCIA A CUENTA AHORRO;PAGO;-500,00;EUR;2.150,00;EUR;Transfers
02/07/2025;02/07/2025;COMPRA SUPERMERCADO EJEMPLO;PAGO;-45,50;EUR;2.104,50;EUR;Groceries
03/07/2025;03/07/2025;RESTAURANTE EJEMPLO;PAGO;-28,90;EUR;2.075,60;EUR;Food & Dining
05/07/2025;05/07/2025;SUSCRIPCION NETFLIX;PAGO;-12,99;EUR;2.062,61;EUR;Entertainment
08/07/2025;08/07/2025;GASOLINERA EJEMPLO;PAGO;-50,00;EUR;2.012,61;EUR;Transport
10/07/2025;10/07/2025;FARMACIA EJEMPLO;PAGO;-15,30;EUR;1.997,31;EUR;Healthcare
15/07/2025;15/07/2025;NOMINA EMPRESA EJEMPLO;ABONO;2.500,00;EUR;4.497,31;EUR;Income
20/07/2025;20/07/2025;ALQUILER VIVIENDA;PAGO;-800,00;EUR;3.697,31;EUR;Housing
22/07/2025;22/07/2025;GIMNASIO MENSUALIDAD;PAGO;-35,00;EUR;3.662,31;EUR;Services
25/07/2025;25/07/2025;COMPRA ONLINE AMAZON;PAGO;-89,99;EUR;3.572,32;EUR;Shopping
